"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.0620463365675023,0,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.186876368439511,0,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.110764032197449,0,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.538668713356026,0,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.724526454108052,0,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.171348237118012,0,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.0620463365675023,0,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.186876368439511,0,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.110764032197449,0,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.171348237118012,1,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.0620463365675023,1,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.171348237118012,1,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.0620463365675023,1,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.171348237118012,1,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.0620463365675023,1,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.171348237118012,1,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.0620463365675023,1,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.171348237118012,1,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.0620463365675023,1,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.171348237118012,1,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.0620463365675023,1,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.171348237118012,1,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.0620463365675023,1,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.171348237118012,1,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.0620463365675023,1,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,0,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,0,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,0,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,0,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.538668713356026,0,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.724526454108052,0,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,0,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,0,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,0,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,0,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.538668713356026,0,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.724526454108052,0,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,0,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,0,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,0,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,0,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.538668713356026,0,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.724526454108052,0,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,0,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,0,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,0,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,0,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.538668713356026,0,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.724526454108052,0,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,0,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,0,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,0,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,0,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.538668713356026,0,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.724526454108052,0,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,0,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,0,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,0,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,0,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.538668713356026,0,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.724526454108052,0,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,0,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,0,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,0,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,0,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.538668713356026,0,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.724526454108052,0,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,0,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,0,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,0,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,0,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.538668713356026,0,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.724526454108052,0,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,0,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,0,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,1,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,1,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,1,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,1,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,1,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,1,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,1,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,1,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.538668713356026,1,1,28,1422,1,0,0,20,0.22834261407335
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.724526454108052,1,1,28,1422,1,0,0,20,0.337697274773457
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.171348237118012,1,1,28,1422,1,0,0,20,0.611125637804703
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.0620463365675023,1,1,28,1422,1,0,0,20,0.236279793454899
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.186876368439511,1,1,28,1422,1,0,0,20,0.174068163832183
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","temperature","C","all","all",0.110764032197449,1,1,28,1422,1,0,0,20,0
